timestamp_iso,timestamp_unix,elapsed_sec,frame_type,has_acc,has_gyro,has_angle,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,roll_deg,pitch_deg,yaw_deg
2021-03-27 02:03:12,1616810592.483608,330.613507,angle,1,1,1,0.057617,0.008301,1.094238,0.244141,2.685547,-2.441406,-9.415283,15.007324,115.257568
2021-03-27 02:03:12,1616810592.502347,330.632245,angle,1,1,1,0.186523,-0.014160,1.138672,-2.319336,2.441406,-0.610352,-9.437256,15.122681,115.103760
2021-03-27 02:03:12,1616810592.523129,330.653029,angle,1,1,1,0.106445,-0.252930,1.115723,-1.464844,1.647949,0.671387,-9.514160,15.183105,114.966431
2021-03-27 02:03:12,1616810592.541824,330.671723,angle,1,1,1,0.078125,-0.139648,1.076660,0.488281,-0.732422,2.807617,-9.525146,15.221558,114.955444
2021-03-27 02:03:12,1616810592.562596,330.692496,angle,1,1,1,0.038574,-0.026855,0.922363,1.892090,0.061035,3.845215,-9.459229,15.254517,115.032349
2021-03-27 02:03:12,1616810592.583372,330.713271,angle,1,1,1,-0.061035,-0.128906,0.924316,4.638672,0.244141,5.493164,-9.316406,15.287476,115.125732
2021-03-27 02:03:12,1616810592.602073,330.731972,angle,1,1,1,-0.180176,-0.288086,0.993652,8.117676,1.770020,5.371094,-9.085693,15.347900,115.202637
2021-03-27 02:03:12,1616810592.622843,330.752743,angle,1,1,1,-0.103027,-0.076172,0.894531,7.995605,2.197266,5.371094,-8.783569,15.413818,115.296021
2021-03-27 02:03:12,1616810592.641625,330.771523,angle,1,1,1,0.001465,0.064941,0.853027,5.432129,2.014160,4.882812,-8.530884,15.435791,115.389404
2021-03-27 02:03:12,1616810592.662397,330.792296,angle,1,1,1,0.036621,-0.216309,0.899414,5.920410,1.281738,1.281738,-8.283691,15.375366,115.389404
2021-03-27 02:03:12,1616810592.683172,330.813071,angle,1,1,1,-0.002441,-0.278809,0.914551,7.141113,-0.366211,0.732422,-8.014526,15.249023,115.416870
2021-03-27 02:03:12,1616810592.701877,330.831776,angle,1,1,1,0.003906,-0.035645,0.866699,5.126953,-0.793457,2.319336,-7.756348,15.073242,115.466309
2021-03-27 02:03:12,1616810592.722645,330.852545,angle,1,1,1,-0.059570,-0.056152,1.003418,4.272461,-2.136230,2.502441,-7.531128,14.880981,115.466309
2021-03-27 02:03:12,1616810592.741438,330.871337,angle,1,1,1,-0.101562,-0.145508,1.084961,5.065918,-1.464844,1.892090,-7.316895,14.721680,115.411377
